Date,NIFTY,RELIANCE,SBI,HDFC
2022-07-05,15810.85,2433.25,472.15,1352.6
2022-07-04,15835.35,2413.7,473.45,1355.65
2022-07-01,15752.05,2408.7,466.85,1353.75
2022-06-30,15780.25,2595.65,465.9,1348.0
2022-06-29,15799.1,2580.15,459.1,1343.95
2022-06-28,15850.2,2527.7,464.25,1345.9
2022-06-27,15832.05,2492.65,461.2,1356.25
2022-06-24,15699.25,2500.05,454.25,1353.8
2022-06-23,15556.65,2464.95,451.4,1335.15
2022-06-22,15413.3,2505.6,447.65,1330.25
2022-06-21,15638.8,2584.1,450.75,1336.55
2022-06-20,15350.15,2543.05,434.7,1322.15
2022-06-17,15293.5,2590.0,441.0,1289.75
2022-06-16,15360.6,2560.0,441.6,1281.3
2022-06-15,15692.15,2596.3,451.35,1307.45
2022-06-14,15732.1,2628.1,448.1,1312.0
2022-06-13,15774.4,2662.9,445.85,1326.6
2022-06-10,16201.8,2714.25,461.85,1351.1
2022-06-09,16478.1,2798.75,466.95,1377.7
2022-06-08,16356.25,2724.05,471.3,1367.4
2022-06-07,16416.35,2772.75,463.4,1362.6
2022-06-06,16569.55,2767.55,463.7,1378.45
2022-06-03,16584.3,2779.5,464.5,1380.3
2022-06-02,16628.0,2724.3,469.85,1385.1
2022-06-01,16522.75,2633.5,468.3,1394.85
2022-05-31,16584.55,2632.65,468.1,1388.95
2022-05-30,16661.4,2664.8,474.6,1401.55
2022-05-27,16352.45,2575.1,468.95,1392.05
2022-05-26,16170.15,2587.1,468.9,1366.7
2022-05-25,16025.8,2612.0,454.1,1328.8
2022-05-24,16125.15,2615.85,462.05,1318.95
2022-05-23,16214.7,2606.9,460.9,1304.0
2022-05-20,16266.15,2624.45,462.4,1320.95
2022-05-19,15809.4,2479.85,447.5,1287.05
2022-05-18,16240.3,2538.35,458.0,1313.9
2022-05-17,16259.3,2529.15,467.3,1314.0
2022-05-16,15842.3,2427.2,455.0,1305.1
2022-05-13,15782.15,2426.6,444.65,1291.35
2022-05-12,15808.0,2399.4,462.65,1303.05
2022-05-11,16167.1,2449.3,476.55,1348.6
2022-05-10,16240.05,2474.65,475.2,1341.05
2022-05-09,16301.85,2518.3,475.9,1319.85
2022-05-06,16411.25,2620.65,483.95,1317.6
2022-05-05,16682.65,2640.9,480.0,1352.95
2022-05-04,16677.6,2693.65,479.65,1356.0
2022-05-02,17069.1,2780.45,491.0,1403.7
2022-04-29,17102.55,2790.25,496.3,1384.6
2022-04-28,17245.05,2819.85,507.5,1371.35
2022-04-27,17038.4,2778.35,497.25,1372.55
2022-04-26,17200.8,2775.65,505.5,1372.05
2022-04-25,16953.95,2695.0,494.75,1365.75
2022-04-22,17171.95,2758.8,500.6,1355.6
2022-04-21,17392.6,2782.1,516.3,1374.35
2022-04-20,17136.55,2718.45,509.3,1354.3
2022-04-19,16958.65,2640.8,511.8,1342.2
2022-04-18,17173.65,2543.85,509.5,1395.45
2022-04-13,17475.65,2551.65,517.7,1464.95
2022-04-12,17530.3,2561.05,512.85,1493.5
2022-04-11,17674.95,2610.2,514.9,1496.15
2022-04-08,17784.35,2615.65,516.1,1514.65
2022-04-07,17639.55,2572.85,514.95,1516.75
2022-04-06,17807.65,2619.05,513.95,1550.85
2022-04-05,17957.4,2626.05,509.4,1608.25
2022-04-04,18053.4,2663.7,512.4,1656.8
2022-04-01,17670.45,2655.85,508.2,1506.0
2022-03-31,17464.75,2634.75,493.55,1470.35
2022-03-30,17498.25,2672.95,494.3,1476.95
2022-03-29,17325.3,2622.55,495.0,1451.8
2022-03-28,17222.0,2621.95,497.5,1432.8
2022-03-25,17153.0,2595.85,490.7,1430.9
2022-03-24,17222.75,2578.65,487.1,1442.65
2022-03-23,17245.65,2539.2,490.65,1479.25
2022-03-22,17315.5,2531.15,493.7,1494.15
2022-03-21,17117.6,2467.4,490.6,1486.5
2022-03-17,17287.05,2481.7,501.9,1480.05
2022-03-16,16975.35,2403.35,492.75,1448.15
2022-03-15,16663.0,2363.45,485.85,1424.0
2022-03-14,16871.3,2418.85,485.15,1442.55
2022-03-11,16630.45,2399.15,470.35,1396.8
2022-03-10,16594.9,2392.25,468.7,1392.7
2022-03-09,16345.35,2354.1,451.7,1371.15
2022-03-08,16013.45,2235.5,440.3,1327.8
2022-03-07,15863.15,2239.55,440.3,1324.8
2022-03-04,16245.35,2325.55,461.95,1366.5
2022-03-03,16498.05,2378.3,467.4,1371.0
2022-03-02,16605.95,2398.55,474.25,1374.25
2022-02-28,16793.9,2359.55,483.2,1426.25
2022-02-25,16658.4,2283.95,482.95,1456.1
2022-02-24,16247.95,2255.75,472.65,1419.4
2022-02-23,17063.25,2374.05,498.7,1500.9
2022-02-22,17092.2,2389.0,498.4,1510.7
2022-02-21,17206.65,2399.9,511.85,1522.1
2022-02-18,17276.3,2424.4,515.3,1512.35
2022-02-17,17304.6,2443.5,512.95,1506.5
2022-02-16,17322.2,2412.95,516.7,1515.75
2022-02-15,17352.45,2417.95,524.8,1517.8
2022-02-14,16842.8,2338.55,501.4,1473.7
2022-02-11,17374.75,2376.4,529.6,1518.85
2022-02-10,17605.85,2381.05,540.55,1525.1
2022-02-09,17463.8,2383.5,535.25,1497.6
2022-02-08,17266.75,2356.05,531.35,1461.85
2022-02-07,17213.6,2317.1,533.25,1468.15
2022-02-04,17516.3,2331.3,530.3,1524.0
2022-02-03,17560.2,2352.75,540.1,1515.35
2022-02-02,17780.0,2383.55,539.8,1531.2
2022-02-01,17576.85,2378.7,532.3,1497.0
2022-01-31,17339.85,2386.6,538.3,1485.7
2022-01-28,17101.95,2335.85,523.45,1463.25
2022-01-27,17110.15,2338.1,528.95,1474.95
2022-01-25,17277.95,2373.25,514.65,1488.05
2022-01-24,17149.1,2377.9,494.15,1486.65
2022-01-21,17617.15,2477.85,502.7,1521.6
