Date,Price,Open,High,Low,Volume,Chg%
"May 29, 2023","71,228","71,300","71,628","71,142",18.80K,-0.09%
"May 26, 2023","71,292","70,547","71,467","70,500",45.82K,1.30%
"May 25, 2023","70,376","70,900","71,218","70,280",44.93K,-1.15%
"May 24, 2023","71,196","72,044","72,168","70,976",46.40K,-1.39%
"May 23, 2023","72,201","72,500","72,500","71,250",53.46K,-0.78%
"May 22, 2023","72,767","73,000","73,347","72,602",31.47K,-0.71%
"May 19, 2023","73,285","72,200","73,666","72,200",45.90K,1.56%
"May 18, 2023","72,156","72,530","72,551","71,851",35.84K,-0.67%
"May 17, 2023","72,642","72,589","72,888","72,175",34.42K,0.08%
"May 16, 2023","72,584","73,290","73,299","72,360",44.65K,-1.09%
"May 15, 2023","73,386","73,257","73,628","72,880",31.12K,0.42%
"May 12, 2023","73,077","73,700","73,749","72,536",52.59K,-1.00%
"May 11, 2023","73,815","76,384","76,480","73,719",77.55K,-3.54%
"May 10, 2023","76,520","77,124","77,859","76,135",55.09K,-0.92%
"May 09, 2023","77,231","77,000","77,295","76,501",33.95K,0.43%
"May 08, 2023","76,903","77,011","77,192","76,701",24.12K,0.08%
"May 05, 2023","76,843","77,918","78,075","75,802",56.09K,-1.24%
"May 04, 2023","77,810","76,637","77,950","76,526",48.56K,1.81%
"May 03, 2023","76,423","76,040","76,648","75,700",36.31K,0.44%
"May 02, 2023","76,090","75,115","76,599","74,420",63.18K,0.99%
"May 01, 2023","75,341","75,563","77,695","75,150",63.09K,1.57%
"Apr 28, 2023","74,180","74,011","74,370","73,581",0.34K,0.32%
"Apr 27, 2023","73,941","74,355","74,438","73,110",0.32K,0.30%
"Apr 26, 2023","73,718","74,305","74,650","73,644",1.04K,-0.64%
"Apr 25, 2023","74,190","74,700","74,800","73,275",1.98K,-0.54%
"Apr 24, 2023","74,595","74,256","74,850","73,915",8.48K,0.19%
"Apr 21, 2023","74,455","75,158","75,377","74,301",32.70K,-1.05%
"Apr 20, 2023","75,247","75,100","75,730","74,800",35.84K,0.01%
"Apr 19, 2023","75,236","75,135","75,392","73,819",47.04K,0.20%
"Apr 18, 2023","75,087","74,730","75,450","74,430",29.89K,0.56%
"Apr 17, 2023","74,669","75,565","76,146","74,310",39.18K,-1.16%
"Apr 14, 2023","75,545","77,000","77,400","75,100",41.32K,-1.60%
"Apr 13, 2023","76,777","75,943","76,940","75,691",36.15K,1.35%
"Apr 12, 2023","75,751","75,189","76,465","75,035",53.79K,1.11%
"Apr 11, 2023","74,919","74,350","75,078","74,350",30.22K,0.90%
"Apr 10, 2023","74,252","74,107","74,880","74,055",26.26K,-0.30%
"Apr 06, 2023","74,475","74,349","74,700","73,645",34.89K,0.02%
"Apr 05, 2023","74,459","74,000","75,023","73,840",50.89K,0.01%
"Apr 04, 2023","74,452","72,157","74,525","71,917",46.37K,3.42%
"Apr 03, 2023","71,991","71,910","72,639","71,309",40.02K,-0.14%
"Mar 31, 2023","72,095","71,825","72,449","71,465",38.97K,0.60%
"Mar 30, 2023","71,665","70,800","71,940","70,800",34.04K,1.40%
"Mar 29, 2023","70,675","70,449","70,720","70,130",29.78K,0.25%
"Mar 28, 2023","70,499","70,103","70,577","69,500",33.91K,0.88%
"Mar 27, 2023","69,881","70,249","70,365","69,621",32.65K,-0.67%
"Mar 24, 2023","70,352","69,930","71,342","69,881",55.82K,0.33%
"Mar 23, 2023","70,122","69,499","70,177","69,377",41.25K,1.24%
"Mar 22, 2023","69,260","68,400","69,447","68,400",39.22K,1.22%
"Mar 21, 2023","68,425","68,850","69,272","68,175",44.90K,-0.63%
"Mar 20, 2023","68,857","68,157","69,529","68,157",63.40K,0.58%
"Mar 17, 2023","68,458","67,000","68,668","67,000",58.22K,2.74%
"Mar 16, 2023","66,633","67,157","67,871","66,330",55.63K,-1.04%
"Mar 15, 2023","67,332","66,821","68,695","66,286",76.54K,0.55%
"Mar 14, 2023","66,964","66,599","67,190","66,021",53.62K,0.42%
"Mar 13, 2023","66,681","63,463","66,750","63,463",88.09K,5.58%
"Mar 10, 2023","63,154","62,005","63,858","61,629",61.50K,1.43%
"Mar 09, 2023","62,264","62,074","62,650","61,800",28.57K,0.25%
"Mar 08, 2023","62,106","62,483","62,489","61,880",37.44K,-0.71%
"Mar 07, 2023","62,549","64,670","64,670","62,500",41.76K,-3.18%
"Mar 06, 2023","64,602","64,802","65,170","64,555",24.69K,-0.04%
"Mar 03, 2023","64,627","64,580","64,856","64,110",29.97K,0.50%
"Mar 02, 2023","64,304","64,601","64,770","64,151",28.94K,-0.72%
"Mar 01, 2023","64,770","64,989","65,288","64,641",36.33K,2.43%
"Feb 28, 2023","63,232","62,835","63,281","62,264",0.87K,0.42%
"Feb 27, 2023","62,966","63,400","63,400","62,630",0.24K,-0.84%
"Feb 24, 2023","63,501","64,688","64,688","63,400",0.30K,-1.69%
"Feb 23, 2023","64,592","65,384","65,570","64,546",0.80K,-1.24%
"Feb 22, 2023","65,404","66,070","66,075","64,920",8.48K,-1.11%
"Feb 21, 2023","66,139","66,280","66,280","65,638",20.88K,0.27%
"Feb 20, 2023","65,964","65,802","66,150","65,711",16.38K,0.18%
"Feb 17, 2023","65,845","65,488","65,909","64,758",37.89K,-0.04%
"Feb 16, 2023","65,874","65,850","66,057","65,324",27.78K,0.28%
"Feb 15, 2023","65,688","66,256","66,286","65,444",30.45K,-1.16%
"Feb 14, 2023","66,456","66,625","66,764","65,912",48.66K,0.08%
"Feb 13, 2023","66,404","66,632","66,820","66,314",27.86K,-0.69%
"Feb 10, 2023","66,865","67,030","67,320","66,505",36.59K,-0.55%
"Feb 09, 2023","67,234","67,822","68,077","67,013",38.64K,-0.81%
"Feb 08, 2023","67,782","67,710","68,050","67,401",29.14K,0.11%
"Feb 07, 2023","67,710","67,988","67,988","67,330",35.75K,0.17%
"Feb 06, 2023","67,593","67,716","68,277","67,456",34.67K,-0.25%
"Feb 03, 2023","67,762","70,400","70,460","67,571",73.13K,-3.37%
"Feb 02, 2023","70,123","69,830","72,483","69,830",74.14K,0.57%
"Feb 01, 2023","69,728","68,650","70,008","68,637",41.49K,1.30%
"Jan 31, 2023","68,831","68,490","68,870","67,813",43.71K,0.25%
"Jan 30, 2023","68,662","68,537","68,845","68,420",25.28K,0.33%
"Jan 27, 2023","68,435","68,788","68,927","68,100",37.07K,-0.40%
"Jan 25, 2023","68,709","68,590","68,787","68,060",39.94K,0.12%
"Jan 24, 2023","68,629","68,380","68,750","67,941",49.52K,0.79%
"Jan 23, 2023","68,092","68,778","69,150","67,025",64.73K,-0.81%
"Jan 20, 2023","68,649","68,722","69,165","68,440",37.65K,0.32%
"Jan 19, 2023","68,429","68,200","68,540","67,559",45.76K,0.13%
"Jan 18, 2023","68,341","69,396","69,740","68,226",49.52K,-1.30%
"Jan 17, 2023","69,242","69,730","69,818","69,059",34.94K,-0.73%
"Jan 16, 2023","69,752","69,488","70,025","69,222",29.33K,0.53%
"Jan 13, 2023","69,382","68,760","69,415","68,178",47.94K,1.02%
"Jan 12, 2023","68,680","68,230","69,231","68,210",50.91K,0.90%
"Jan 11, 2023","68,070","68,540","69,200","67,714",43.80K,-0.54%
"Jan 10, 2023","68,443","68,798","68,798","68,140",33.09K,-0.68%
"Jan 09, 2023","68,915","69,369","69,885","68,812",35.14K,-0.29%
"Jan 06, 2023","69,116","68,277","69,227","68,277",41.20K,1.40%
"Jan 05, 2023","68,160","70,066","70,066","67,877",51.97K,-1.66%
"Jan 04, 2023","69,311","70,130","70,687","69,111",49.49K,-0.82%
"Jan 03, 2023","69,886","69,687","70,990","69,687",53.88K,0.51%
"Jan 02, 2023","69,530","69,350","69,633","69,336",8.25K,0.24%
"Dec 30, 2022","69,362","69,607","69,925","68,742",57.95K,-0.47%
"Dec 29, 2022","69,690","68,982","69,810","68,686",40.40K,1.02%
"Dec 28, 2022","68,983","69,792","69,838","68,633",46.01K,-1.12%
"Dec 27, 2022","69,763","69,250","70,250","69,202",51.05K,1.03%
"Dec 26, 2022","69,052","68,876","69,220","68,323",9.23K,0.05%
"Dec 23, 2022","69,016","68,600","69,279","68,600",36.40K,0.71%
"Dec 22, 2022","68,528","69,653","69,820","68,454",48.98K,-1.63%
"Dec 21, 2022","69,667","69,651","70,017","69,300",43.03K,0.12%
"Dec 20, 2022","69,583","67,780","69,750","67,375",70.24K,3.03%
"Dec 19, 2022","67,536","67,776","68,220","67,208",43.02K,-0.13%
"Dec 16, 2022","67,625","67,641","67,826","66,810",56.06K,-0.27%
"Dec 15, 2022","67,811","69,095","69,095","67,444",61.01K,-2.08%
"Dec 14, 2022","69,252","68,893","69,372","68,659",40.09K,0.77%
"Dec 13, 2022","68,721","67,948","69,520","67,948",69.16K,1.41%
"Dec 12, 2022","67,768","67,607","68,275","67,511",39.42K,-0.33%
"Dec 09, 2022","67,991","67,189","68,159","66,862",56.44K,1.48%
"Dec 08, 2022","67,002","66,157","67,232","66,025",37.29K,1.10%
"Dec 07, 2022","66,270","65,555","66,400","65,500",42.58K,1.18%
"Dec 06, 2022","65,494","65,508","66,177","65,301",45.10K,0.30%
"Dec 05, 2022","65,298","66,589","67,379","65,167",61.80K,-1.67%
"Dec 02, 2022","66,406","65,141","66,665","65,066",66.81K,1.58%
"Dec 01, 2022","65,370","63,650","65,560","63,650",64.60K,4.68%
"Nov 30, 2022","62,449","61,755","63,970","61,510",0.22K,1.12%
"Nov 29, 2022","61,755","61,626","63,480","61,200",0.18K,0.74%
"Nov 28, 2022","61,302","61,634","62,140","61,000",0.47K,-1.01%
"Nov 25, 2022","61,928","62,127","62,240","61,483",0.95K,-0.08%
"Nov 24, 2022","61,978","61,680","62,255","61,680",7.19K,0.57%
"Nov 23, 2022","61,629","61,340","61,710","60,994",34.91K,0.73%
"Nov 22, 2022","61,180","61,199","61,777","61,071",32.23K,0.48%
"Nov 21, 2022","60,885","60,811","61,037","60,460",35.29K,-0.41%
"Nov 18, 2022","61,134","61,437","61,750","60,870",40.77K,-0.20%
"Nov 17, 2022","61,257","62,500","62,700","61,024",49.92K,-1.46%
"Nov 16, 2022","62,162","61,875","62,962","61,875",55.20K,0.50%
"Nov 15, 2022","61,853","62,575","63,145","61,730",56.71K,-1.10%
"Nov 14, 2022","62,540","62,010","62,645","61,670",54.48K,1.20%
"Nov 11, 2022","61,798","62,205","62,895","61,300",60.63K,-0.50%
"Nov 10, 2022","62,107","61,600","62,970","61,370",60.70K,0.54%
"Nov 09, 2022","61,772","61,950","62,384","61,447",59.84K,-0.58%
"Nov 08, 2022","62,135","60,877","62,450","60,681",49.20K,1.65%
"Nov 07, 2022","61,126","60,400","61,486","60,319",54.15K,0.50%
"Nov 04, 2022","60,824","58,953","60,990","58,898",87.04K,3.55%
"Nov 03, 2022","58,737","59,000","59,000","57,580",76.14K,-0.83%
"Nov 02, 2022","59,228","59,499","59,720","59,059",38.54K,-0.02%
"Nov 01, 2022","59,238","58,295","59,932","58,295",79.83K,1.94%
"Oct 31, 2022","58,111","58,200","58,250","57,576",42.58K,0.31%
"Oct 28, 2022","57,933","58,700","58,836","57,550",56.89K,-1.22%
"Oct 27, 2022","58,650","58,590","58,900","58,208",50.89K,0.12%
"Oct 26, 2022","58,581","58,550","58,826","58,374",26.37K,0.27%
"Oct 25, 2022","58,423","57,895","58,576","57,285",62.86K,0.50%
"Oct 24, 2022","58,133","58,100","58,417","57,621",7.44K,0.24%
"Oct 21, 2022","57,995","57,110","58,070","56,109",84.64K,1.50%
"Oct 20, 2022","57,140","56,311","57,662","56,092",57.79K,1.05%
"Oct 19, 2022","56,544","56,899","56,955","56,426",33.15K,-0.54%
"Oct 18, 2022","56,849","56,861","57,266","56,350",47.82K,0.07%
"Oct 17, 2022","56,808","55,999","57,325","55,999",50.49K,1.82%
"Oct 14, 2022","55,792","57,744","57,997","55,511",71.33K,-3.19%
"Oct 13, 2022","57,633","57,999","58,448","56,749",65.34K,-0.32%
"Oct 12, 2022","57,817","58,525","58,582","57,671",48.79K,-2.03%
"Oct 11, 2022","59,018","59,158","59,277","58,510",44.72K,-0.83%
"Oct 10, 2022","59,513","60,521","60,521","59,270",55.01K,-2.64%
"Oct 07, 2022","61,126","61,800","62,200","60,712",60.86K,-0.84%
"Oct 06, 2022","61,643","61,500","61,976","61,117",49.11K,0.94%
"Oct 05, 2022","61,067","61,700","61,700","59,828",45.90K,-1.74%
"Oct 04, 2022","62,147","61,529","62,643","61,335",62.87K,1.56%
"Oct 03, 2022","61,194","57,525","61,278","57,451",101.84K,6.84%
"Sep 30, 2022","57,274","56,789","57,695","56,707",65.59K,1.17%
"Sep 29, 2022","56,612","56,800","56,920","56,187",56.48K,-0.53%
"Sep 28, 2022","56,914","55,750","56,989","54,925",81.92K,1.82%
"Sep 27, 2022","55,897","56,000","56,618","55,714",55.93K,0.06%
"Sep 26, 2022","55,865","56,565","57,220","55,759",59.58K,-1.49%
"Sep 23, 2022","56,711","58,460","58,575","56,510",68.94K,-2.84%
"Sep 22, 2022","58,368","57,430","58,800","57,337",59.78K,1.18%
"Sep 21, 2022","57,687","57,050","58,050","56,912",51.26K,1.53%
"Sep 20, 2022","56,817","57,300","57,578","56,611",37.16K,-0.54%
"Sep 19, 2022","57,124","57,200","57,450","56,900",38.30K,-0.05%
"Sep 16, 2022","57,152","56,674","57,400","55,880",60.96K,0.48%
"Sep 15, 2022","56,881","57,340","57,585","56,600",50.98K,-0.91%
"Sep 14, 2022","57,402","56,866","57,624","56,732",39.48K,0.30%
"Sep 13, 2022","57,233","57,511","58,037","57,000",65.76K,-1.09%
"Sep 12, 2022","57,862","55,674","58,187","55,561",88.43K,4.15%
"Sep 09, 2022","55,558","54,900","55,652","54,900",46.60K,1.26%
"Sep 08, 2022","54,864","54,661","55,272","54,468",49.96K,0.50%
"Sep 07, 2022","54,593","53,600","54,679","53,340",42.79K,1.46%
"Sep 06, 2022","53,806","54,290","54,890","53,732",48.33K,-0.39%
"Sep 05, 2022","54,014","53,700","54,191","53,700",21.28K,0.60%
"Sep 02, 2022","53,691","53,250","54,260","53,250",49.21K,0.84%
"Sep 01, 2022","53,242","53,660","53,660","52,605",47.29K,-1.11%
"Aug 31, 2022","53,840","53,840","53,840","53,840",0,-1.94%
"Aug 30, 2022","54,907","54,500","55,400","54,500",0.02K,-0.55%
"Aug 29, 2022","55,210","54,364","56,969","54,088",0.51K,0.08%
"Aug 26, 2022","55,164","55,929","56,075","55,050",1.29K,-1.13%
"Aug 25, 2022","55,794","55,634","56,097","55,625",0.57K,0.98%
"Aug 24, 2022","55,252","55,515","55,789","55,155",23.44K,-0.76%
"Aug 23, 2022","55,673","55,974","56,139","55,230",40.08K,0.03%
"Aug 22, 2022","55,659","56,184","56,185","55,200",35.73K,-1.09%
"Aug 19, 2022","56,275","56,929","56,947","56,050",31.68K,-1.54%
"Aug 18, 2022","57,158","57,500","57,868","57,068",33.33K,-0.75%
"Aug 17, 2022","57,590","58,091","58,539","57,400",36.07K,-1.15%
"Aug 16, 2022","58,258","59,455","59,455","57,903",36.12K,-2.36%
"Aug 12, 2022","59,667","59,050","59,775","58,839",34.37K,1.25%
"Aug 11, 2022","58,928","59,300","59,514","58,753",35.98K,-0.79%
"Aug 10, 2022","59,396","59,225","59,775","58,900",36.30K,0.21%
"Aug 09, 2022","59,271","59,441","59,746","59,112",21.33K,-0.29%
"Aug 08, 2022","59,441","57,784","59,589","57,784",48.14K,2.62%
"Aug 05, 2022","57,926","58,685","58,749","57,285",51.46K,-1.00%
"Aug 04, 2022","58,512","58,290","58,930","58,148",45.56K,0.68%
"Aug 03, 2022","58,115","58,066","58,427","57,800",34.95K,-0.14%
"Aug 02, 2022","58,195","58,604","58,873","58,080",46.72K,-0.97%
"Aug 01, 2022","58,765","58,800","59,175","58,327",40.50K,0.09%
"Jul 29, 2022","58,712","58,230","58,750","57,900",46.16K,1.12%
"Jul 28, 2022","58,064","55,750","58,125","55,750",73.06K,4.60%
"Jul 27, 2022","55,513","55,316","55,785","55,080",39.84K,0.16%
"Jul 26, 2022","55,426","55,150","55,550","55,062",35.04K,0.49%
"Jul 25, 2022","55,155","55,800","55,830","54,934",39.01K,-1.19%
"Jul 22, 2022","55,821","56,010","56,362","55,764",38.83K,-0.33%
"Jul 21, 2022","56,006","56,100","56,100","54,835",66.66K,-0.37%
"Jul 20, 2022","56,213","56,473","56,779","56,105",36.16K,-0.10%
"Jul 19, 2022","56,272","56,500","56,500","56,000",27.52K,-0.52%
"Jul 18, 2022","56,568","56,300","56,840","56,249",34.09K,0.84%
"Jul 15, 2022","56,097","55,527","56,309","55,100",50.00K,0.79%
"Jul 14, 2022","55,655","57,450","57,450","55,285",78.26K,-3.30%
"Jul 13, 2022","57,555","56,800","57,789","56,754",47.21K,1.08%
"Jul 12, 2022","56,940","57,335","57,335","56,510",44.25K,-0.79%
"Jul 11, 2022","57,395","57,500","57,722","57,312",28.45K,-0.30%
"Jul 08, 2022","57,566","57,300","57,810","56,932",43.91K,0.26%
"Jul 07, 2022","57,416","57,499","57,900","57,281",36.93K,0.36%
"Jul 06, 2022","57,210","57,400","57,717","56,555",54.76K,-0.27%
"Jul 05, 2022","57,365","59,100","59,350","57,230",50.74K,-2.55%
"Jul 04, 2022","58,868","58,897","59,000","58,520",20.10K,0.47%
"Jul 01, 2022","58,595","58,705","59,850","58,020",62.36K,-1.14%
"Jun 30, 2022","59,268","59,434","59,434","59,101",0.00K,-0.11%
"Jun 29, 2022","59,336","59,900","60,223","59,263",0.03K,-0.92%
"Jun 28, 2022","59,885","60,455","61,021","59,809",0.33K,-0.87%
"Jun 27, 2022","60,412","60,783","61,114","60,298",0.73K,0.75%
"Jun 24, 2022","59,960","59,829","60,474","59,155",14.08K,0.21%
"Jun 23, 2022","59,833","60,777","60,925","59,710",38.98K,-1.86%
"Jun 22, 2022","60,970","61,450","61,450","60,467",34.83K,-0.98%
"Jun 21, 2022","61,576","61,250","61,940","60,880",34.16K,0.82%
"Jun 20, 2022","61,077","61,500","61,500","61,000",23.53K,-0.30%
"Jun 17, 2022","61,258","61,725","61,968","61,180",35.55K,-0.83%
"Jun 16, 2022","61,771","61,350","61,888","60,610",51.14K,1.27%
"Jun 15, 2022","60,998","60,250","61,446","60,111",48.55K,1.91%
"Jun 14, 2022","59,854","60,450","60,736","59,710",43.64K,-1.25%
"Jun 13, 2022","60,614","61,905","61,905","60,107",57.98K,-2.52%
"Jun 10, 2022","62,184","61,418","62,300","60,570",60.76K,0.84%
"Jun 09, 2022","61,668","62,260","62,490","61,260",42.76K,-1.02%
"Jun 08, 2022","62,306","62,530","62,625","61,763",38.48K,-0.32%
"Jun 07, 2022","62,505","62,270","62,592","61,820",36.79K,-0.08%
"Jun 06, 2022","62,556","62,500","63,222","62,329",43.08K,0.96%
"Jun 03, 2022","61,961","62,867","63,148","61,872",46.82K,-1.00%
"Jun 02, 2022","62,589","61,762","62,660","61,640",37.47K,1.18%
"Jun 01, 2022","61,862","61,406","61,990","60,822",43.34K,0.67%
"May 31, 2022","61,450","62,000","62,150","61,080",44.10K,-1.19%
"May 30, 2022","62,188","62,400","62,845","62,015",26.05K,-0.36%
"May 27, 2022","62,413","62,200","63,087","62,200",41.75K,0.53%
"May 26, 2022","62,087","61,923","62,269","61,540",29.74K,0.39%
"May 25, 2022","61,843","62,250","62,374","61,557",31.26K,-0.70%
"May 24, 2022","62,278","61,708","62,493","61,380",38.83K,1.06%
"May 23, 2022","61,627","61,900","62,540","61,431",39.09K,-0.15%
"May 20, 2022","61,718","61,777","62,270","61,480",35.56K,-0.20%
"May 19, 2022","61,839","61,454","62,000","60,512",47.81K,1.19%
"May 18, 2022","61,111","61,057","61,627","60,830",36.62K,-0.58%
"May 17, 2022","61,466","61,350","61,855","61,110",36.10K,0.40%
