Date,Open,High,Low,Close,Adj Close,Volume
2014-03-21,416.250000,417.250000,408.812500,413.206238,317.714508,12380320
2014-03-22,null,null,null,null,null,null
2014-03-24,409.024994,414.806244,408.750000,409.475006,314.845581,8160344
2014-03-25,406.000000,409.962494,405.750000,406.799988,312.788757,7548064
2014-03-26,407.500000,408.618744,403.825012,406.112488,312.260132,8458568
2014-03-27,406.000000,407.862488,401.993744,403.881256,310.544525,13599368
2014-03-28,405.012512,409.875000,403.412506,407.825012,313.576813,7146824
2014-03-31,410.662506,413.118744,403.756256,410.350006,315.518280,9176928
2014-04-01,410.381256,415.625000,409.375000,414.243744,318.512268,8628352
2014-04-02,418.600006,418.750000,413.812500,415.256256,319.290741,5644400
2014-04-03,417.437500,418.500000,414.881256,417.268738,320.838226,4700216
2014-04-04,418.875000,419.500000,413.262512,414.506256,318.714081,3925584
2014-04-07,412.250000,414.306244,407.000000,411.674988,316.537140,7097544
2014-04-09,410.131256,413.725006,403.812500,406.818756,312.803162,10664680
2014-04-10,406.812500,407.218750,398.268738,400.149994,307.675537,21263240
2014-04-11,401.250000,406.950012,395.625000,404.393738,310.938538,18678336
2014-04-15,416.524994,423.500000,405.937500,407.475006,313.307770,20782384
2014-04-16,405.243744,405.243744,393.437500,394.662506,303.456207,13198304
2014-04-17,397.500000,401.256256,394.793762,399.006256,306.796051,8391912
2014-04-21,401.250000,402.500000,396.250000,397.868744,305.921448,6119624
2014-04-22,396.506256,400.000000,392.799988,393.831238,302.817047,6626896
2014-04-23,396.756256,398.981262,395.500000,396.581238,304.931549,12016720
2014-04-24,396.581238,396.581238,396.581238,396.581238,304.931549,0
2014-04-25,398.500000,400.000000,395.418762,396.950012,305.215027,5962904
2014-04-28,396.125000,399.125000,395.625000,397.256256,305.450592,6042480
2014-04-29,397.875000,399.375000,396.375000,397.218750,305.421722,4835464
2014-04-30,397.206238,398.750000,396.375000,397.600006,305.714874,7741936
2014-05-02,398.125000,405.875000,398.125000,402.462494,309.453644,4764392
2014-05-05,399.000000,404.125000,396.818756,397.112488,305.340027,4196688
2014-05-06,397.112488,398.062500,394.375000,395.643738,304.210693,4566024
2014-05-07,393.875000,396.250000,381.250000,383.418762,294.810822,15596072
2014-05-08,383.750000,386.049988,380.806244,383.162506,294.613800,9161992
2014-05-09,383.125000,390.625000,381.606262,388.931244,299.049438,6179400
2014-05-12,389.774994,398.312500,388.131256,396.887512,305.166992,7044200
2014-05-13,397.875000,409.375000,397.875000,408.156250,313.831482,7299968
2014-05-14,406.281250,408.125000,402.143738,406.762512,312.759888,5184688
2014-05-15,406.762512,411.856262,400.656250,409.056244,314.523590,8409192
2014-05-16,412.375000,417.500000,382.381256,397.193756,305.402496,14188792
2014-05-19,399.750000,399.750000,375.012512,376.881256,289.784180,17246512
2014-05-20,381.125000,392.356262,380.274994,390.274994,300.082642,8787344
2014-05-21,389.750000,395.537506,387.381256,394.637512,303.437012,6788304
2014-05-22,395.000000,397.500000,385.143738,389.237488,299.284912,9832744
2014-05-23,390.625000,396.375000,376.518738,383.693756,295.022278,9081776
2014-05-26,383.875000,388.868744,381.268738,386.856262,297.454010,5750544
2014-05-27,387.500000,394.375000,387.437500,391.756256,301.221619,4984128
2014-05-28,390.437500,398.500000,389.750000,396.662506,304.993958,5389320
2014-05-29,378.125000,378.125000,364.375000,365.562500,284.942383,41341328
2014-05-30,367.500000,369.931244,360.000000,367.424988,286.394043,28035616
2014-06-02,370.062500,374.712494,370.062500,374.143738,291.631042,6229856
2014-06-03,376.000000,379.618744,371.843750,377.149994,293.974304,6824936
2014-06-04,376.875000,378.418762,369.187500,373.062500,290.788330,5508008
2014-06-05,375.000000,383.549988,370.250000,380.143738,296.307892,12153720
2014-06-06,375.018738,376.250000,368.750000,375.381256,292.595673,16882424
2014-06-09,375.750000,376.875000,372.012512,373.306244,290.978302,10858344
2014-06-10,375.000000,386.149994,374.543762,384.393738,299.620636,10479176
2014-06-11,388.125000,407.156250,386.293762,399.168762,311.137146,20375704
2014-06-12,410.000000,412.131256,390.087494,396.881256,309.354095,21128856
2014-06-13,398.562500,400.875000,391.381256,398.375000,310.518494,10151744
2014-06-16,398.250000,407.462494,397.500000,405.518738,316.086731,9375328
2014-06-17,406.125000,408.375000,402.318756,405.856262,316.349854,10079392
2014-06-18,405.625000,409.375000,401.593750,405.062500,315.731110,9791280
2014-06-19,405.731262,415.375000,405.637512,413.987488,322.687836,11313704
2014-06-20,415.000000,417.424988,411.606262,414.575012,323.145721,8853000
2014-06-23,412.500000,413.618744,402.681244,404.068756,314.956512,6328112
2014-06-24,403.750000,404.362488,399.018738,400.475006,312.155365,10638024
2014-06-25,405.625000,405.625000,400.750000,401.406250,312.881226,6433520
2014-06-26,402.500000,404.375000,396.093750,397.812500,310.080078,7376552
2014-06-27,400.000000,404.450012,396.500000,402.924988,314.065002,6890744
2014-06-30,402.500000,407.875000,401.424988,406.943756,317.197479,7290576
2014-07-01,405.625000,406.850006,400.750000,402.631256,313.836090,4662512
2014-07-02,401.500000,405.450012,399.774994,401.912506,313.275787,6119632
2014-07-03,401.274994,403.549988,398.812500,401.337494,312.827576,7504912
2014-07-04,400.006256,407.299988,400.006256,405.743744,316.262115,5752968
2014-07-07,408.125000,421.000000,407.500000,418.181244,325.956665,11638312
2014-07-08,418.625000,425.793762,412.881256,417.768738,325.635132,11460480
2014-07-09,416.250000,423.000000,411.250000,413.793762,322.536804,8270752
2014-07-10,414.375000,422.712494,406.325012,411.587494,320.817078,11345616
2014-07-11,425.174988,429.000000,412.543762,415.831238,324.124939,15826360
2014-07-14,414.375000,414.375000,398.225006,403.156250,314.245270,8231600
2014-07-15,404.875000,407.243744,402.131256,403.206238,314.284210,4139800
2014-07-16,405.000000,405.625000,400.406250,403.700012,314.669128,4589488
2014-07-17,407.512512,418.237488,403.956238,404.912506,315.614197,4946672
2014-07-18,406.625000,409.337494,405.450012,406.443756,316.807770,4098368
2014-07-21,406.875000,409.168762,398.512512,400.087494,311.853241,7435968
2014-07-22,400.625000,405.837494,399.756256,404.212494,315.068512,8733360
2014-07-23,406.125000,419.375000,406.125000,418.681244,326.346405,11827336
2014-07-24,418.000000,424.375000,415.181244,422.781250,329.542236,5571560
