Date,Open,High,Low,Close,Adj Close,Volume
2014-04-03,605.099976,618.000000,599.049988,601.400024,578.690063,140723
2014-04-04,607.900024,612.049988,600.049988,608.150024,585.185120,53046
2014-04-07,594.099976,604.000000,580.000000,594.700012,572.242798,92817
2014-04-09,595.200012,600.049988,577.000000,579.349976,557.472534,82049
2014-04-10,586.750000,586.750000,568.000000,569.950012,548.427490,31768
2014-04-11,564.299988,564.299988,550.000000,552.150024,531.299744,49081
2014-04-15,552.049988,565.000000,551.950012,559.200012,538.083435,45436
2014-04-16,557.599976,569.900024,550.599976,557.400024,536.351563,34748
2014-04-17,558.000000,577.599976,558.000000,570.799988,549.245361,217196
2014-04-21,575.000000,586.200012,571.500000,578.099976,556.269714,25385
2014-04-22,582.950012,588.900024,575.250000,580.599976,558.675293,37549
2014-04-23,584.599976,587.099976,578.799988,582.099976,560.118713,17986
2014-04-24,582.099976,582.099976,582.099976,582.099976,560.118713,0
2014-04-25,582.750000,595.000000,582.000000,584.000000,561.947021,16279
2014-04-28,582.099976,596.000000,579.000000,582.150024,560.166748,286347
2014-04-29,586.900024,605.000000,580.000000,582.650024,560.648071,61624
2014-04-30,587.299988,593.549988,583.000000,584.950012,562.861145,41203
2014-05-02,591.950012,592.000000,567.000000,577.200012,555.403931,18212
2014-05-05,572.349976,581.250000,565.150024,570.000000,548.475586,146203
2014-05-06,568.349976,576.000000,557.000000,567.099976,545.684998,101011
2014-05-07,561.549988,566.049988,538.000000,541.000000,520.570740,84214
2014-05-08,541.000000,549.000000,526.299988,531.750000,511.669983,14219
2014-05-09,536.000000,556.900024,523.700012,553.400024,532.502502,27448
2014-05-12,567.950012,567.950012,543.700012,549.400024,528.653687,22955
2014-05-13,550.000000,573.900024,546.549988,568.299988,546.839722,30967
2014-05-14,556.599976,594.000000,556.599976,576.099976,554.345215,116463
2014-05-15,584.900024,601.750000,577.099976,583.200012,561.177246,52044
2014-05-16,582.250000,592.700012,561.000000,587.299988,565.122192,19948
2014-05-19,590.000000,633.000000,590.000000,628.799988,605.055237,131807
2014-05-20,630.799988,694.000000,615.150024,674.700012,649.222046,152965
2014-05-21,674.950012,681.750000,662.049988,674.250000,648.788940,87957
2014-05-22,680.000000,685.000000,661.000000,680.450012,654.754822,49369
2014-05-23,689.900024,694.000000,662.799988,675.000000,649.510620,383511
2014-05-26,675.000000,687.950012,667.000000,684.099976,658.266907,60214
2014-05-27,684.900024,689.450012,662.000000,669.700012,644.410645,22672
2014-05-28,663.349976,719.799988,663.299988,698.099976,671.738281,104471
2014-05-29,702.950012,739.000000,702.950012,732.299988,704.646729,202407
2014-05-30,730.000000,739.900024,701.150024,709.900024,683.092834,24850
2014-06-02,721.900024,755.000000,705.099976,742.750000,714.702271,74413
2014-06-03,743.000000,759.849976,728.500000,730.700012,703.107300,29876
