Date,^NSEI,RELIANCE.NS,HDFCBANK.NS,TCS.NS,ICICIBANK.NS,INFY.NS,SBIN.NS,BAJFINANCE.NS,INDHOTEL.NS,ONGC.NS,NAUKRI.NS,INR=X,JETAIRWAYS.NS,IDEA.NS,GOLD-MMIc1.MCX,SILVER-MSDc1.MCX,IND-10Y.BOND,NIFTY.FUT
2013-12-09,6363.899902,408.600677,323.876068,812.957825,193.259338,320.900635,172.260971,144.268555,47.977188,127.744446,429.735535,61.150002,298.299988,104.650375,29903.0,44203.0,8.904,6391.75
2013-12-10,6332.850098,411.250397,323.8992,844.545654,186.287704,323.981049,167.929047,144.629974,50.168335,126.892975,434.065613,60.869999,299.549988,105.631752,30158.0,45487.0,8.835,6369.5
2013-12-11,6307.899902,410.297394,323.364594,834.529968,186.287704,324.317474,163.670013,143.873367,49.072765,124.232071,437.43335,60.98,296.649994,102.538933,29991.0,45758.0,8.826,6343.45
2013-12-12,6237.049805,404.532959,323.201874,822.709595,182.146561,323.308289,161.888962,144.234802,49.118416,120.613235,435.893799,61.59,293.149994,102.479462,29736.0,44500.0,8.85,6264.95
2013-12-13,6168.399902,401.976227,320.761139,811.720825,174.491425,324.269379,158.846146,142.793915,49.027115,119.208229,424.202637,62.16,273.200012,101.795464,30004.0,44807.0,8.911,6197.75
2013-12-16,6154.700195,392.841431,318.157654,818.756226,176.509766,331.804626,157.798477,142.962555,52.405151,117.782043,421.604553,62.188,261.899994,100.903305,29675.0,45365.0,8.865,6179.7
2013-12-17,6139.049805,390.121918,305.721436,829.380249,176.630371,332.198669,156.541245,142.630066,55.372337,116.951813,421.363983,61.779999,268.0,100.427483,29468.0,44763.0,8.915,6160.85
2013-12-18,6217.149902,399.768036,309.74292,833.617615,176.228333,332.304413,160.649963,144.123993,53.728966,119.740463,428.243958,61.709999,270.100006,101.051994,29706.0,45368.0,8.784,6249.65
2013-12-19,6166.649902,397.025269,303.373688,844.038879,171.033768,337.571381,157.702789,142.827667,53.181183,116.526062,435.653229,62.029999,270.0,101.200684,29330.0,43898.0,8.743,6177.8
2013-12-20,6274.25,416.131592,308.9758,859.873291,174.925674,341.329407,159.538513,144.066147,52.998585,121.251823,456.3414,62.459999,275.700012,101.051987,29625.0,44028.0,8.797,6292.35
2013-12-23,6284.5,416.642944,308.906097,855.210144,176.590164,333.361664,160.199005,149.897232,53.455078,122.954842,450.134949,62.02,273.899994,100.576187,29436.0,43946.0,8.817,6302.35
2013-12-24,6268.399902,417.479706,305.582031,855.879333,176.718811,335.086884,160.271881,147.63707,54.413704,121.656319,440.079529,61.84,278.649994,100.040878,29502.0,44018.0,8.866,6281.7
2013-12-26,6278.899902,412.598511,311.044617,851.662109,176.847473,338.378723,159.7435,146.360016,54.596298,124.444923,447.729309,61.790001,281.0,98.583694,29464.0,44800.0,8.889,6278.9
2013-12-27,6313.799805,408.554108,311.323578,876.13385,178.5522,342.285614,161.260361,146.972046,56.741806,124.338493,449.076385,61.889999,282.049988,99.832718,29457.0,45189.0,8.959,6372.05
2013-12-30,6291.100098,412.389313,311.253876,874.268555,176.373047,336.619904,160.759293,149.964661,54.733246,123.274132,447.007751,61.669998,283.0,101.170952,29337.0,44245.0,8.858,6334.7
